datetime,x,y,N2O_ppb,comment,hour,transect
2019-03-29 10:54:43+00:00,6.30244915,53.2852933,0.5380000000000109,11,11,0
2019-03-29 10:54:43.500000+00:00,6.3024883,53.28518,,11,11,0
2019-03-29 10:54:44+00:00,6.3025275,53.28518,0.35599999999999454,11,11,0
2019-03-29 10:54:44.500000+00:00,6.3025667,53.2850667,0.23500000000001364,11,11,0
2019-03-29 10:54:45+00:00,6.3026067,53.2850667,0.15899999999999181,11,11,0
2019-03-29 10:54:45.500000+00:00,6.3026467,53.2849533,0.03699999999997772,11,11,0
2019-03-29 10:54:46+00:00,6.30268585,53.2849533,0.036000000000001364,11,11,0
2019-03-29 10:54:46.500000+00:00,6.302725,53.28484,0.0,11,11,0
2019-03-29 10:54:47+00:00,6.302765,53.28484,0.0,11,11,0
2019-03-29 10:54:47.500000+00:00,6.302805,53.2847267,0.06099999999997863,11,11,0
2019-03-29 10:54:48+00:00,6.3028833,53.2846133,0.23599999999999,11,11,0
2019-03-29 10:54:49+00:00,6.302935566666667,53.2846133,0.22399999999998954,11,11,0
2019-03-29 10:54:49.500000+00:00,6.3029617,53.2845,0.21600000000000819,11,11,0
2019-03-29 10:54:50+00:00,6.303001699999999,53.2845,0.353999999999985,11,11,0
2019-03-29 10:54:50.500000+00:00,6.3030417,53.2843867,0.33499999999997954,11,11,0
2019-03-29 10:54:51+00:00,6.30308085,53.2843867,0.09499999999997044,11,11,0
2019-03-29 10:54:51.500000+00:00,6.30312,53.2842733,0.10500000000001819,11,11,0
2019-03-29 10:54:52+00:00,6.30315915,53.2842733,0.05700000000001637,11,11,0
2019-03-29 10:54:52.500000+00:00,6.3031983,53.28416,0.11899999999997135,11,11,0
2019-03-29 10:54:53+00:00,6.3032375,53.28416,0.002999999999985903,11,11,0
2019-03-29 10:54:53.500000+00:00,6.3032767,53.2840467,0.07099999999996953,11,11,0
2019-03-29 10:54:54+00:00,6.3033167,53.2840467,0.07099999999996953,11,11,0
2019-03-29 10:54:54.500000+00:00,6.3033567,53.2839317,0.055999999999983174,11,11,0
2019-03-29 10:54:55+00:00,6.3033967,53.2839317,0.10899999999998045,11,11,0
2019-03-29 10:54:55.500000+00:00,6.3034367,53.2838183,0.08999999999997499,11,11,0
2019-03-29 10:54:56+00:00,6.30347585,53.2838183,0.0,11,11,0
2019-03-29 10:54:56.500000+00:00,6.303515,53.283705,0.0,11,11,0
2019-03-29 10:54:57+00:00,6.30355415,53.283705,0.05099999999998772,11,11,0
2019-03-29 10:54:57.500000+00:00,6.3035933,53.2835933,0.03100000000000591,11,11,0
2019-03-29 10:54:58+00:00,6.3036325,53.2835933,0.021000000000015007,11,11,0
2019-03-29 10:54:58.500000+00:00,6.3036717,53.28348,0.0,11,11,0
2019-03-29 10:54:59+00:00,6.30371,53.28348,0.10599999999999454,11,11,0
2019-03-29 10:54:59.500000+00:00,6.3037483,53.2833667,0.0,11,11,0
2019-03-29 10:55:00+00:00,6.3037875,53.2833667,0.0,11,11,0
2019-03-29 10:55:00.500000+00:00,6.3038267,53.2832533,0.0,11,11,0
2019-03-29 10:55:01+00:00,6.30386585,53.2832533,0.0,11,11,0
2019-03-29 10:55:01.500000+00:00,6.303905,53.28314,0.08299999999996999,11,11,0
2019-03-29 10:55:02+00:00,6.303945000000001,53.28314,0.043000000000006366,11,11,0
2019-03-29 10:55:02.500000+00:00,6.303985,53.2830283,0.0,11,11,0
2019-03-29 10:55:03+00:00,6.30402415,53.2830283,0.0,11,11,0
